selectBlock,category,paths,semantic,action,number,image4,image1,image2,image3,trigger_loop.thisRepN,trigger_loop.thisTrialN,trigger_loop.thisN,trigger_loop.thisIndex,blockSelectLoop.thisRepN,blockSelectLoop.thisTrialN,blockSelectLoop.thisN,blockSelectLoop.thisIndex,b1loop.thisRepN,b1loop.thisTrialN,b1loop.thisN,b1loop.thisIndex,b2loop.thisRepN,b2loop.thisTrialN,b2loop.thisN,b2loop.thisIndex,b3loop.thisRepN,b3loop.thisTrialN,b3loop.thisN,b3loop.thisIndex,b4loop.thisRepN,b4loop.thisTrialN,b4loop.thisN,b4loop.thisIndex,b4_trialLoop.thisRepN,b4_trialLoop.thisTrialN,b4_trialLoop.thisN,b4_trialLoop.thisIndex,b1_trialLoop.thisRepN,b1_trialLoop.thisTrialN,b1_trialLoop.thisN,b1_trialLoop.thisIndex,b2_trialLoop.thisRepN,b2_trialLoop.thisTrialN,b2_trialLoop.thisN,b2_trialLoop.thisIndex,b3_trialLoop.thisRepN,b3_trialLoop.thisTrialN,b3_trialLoop.thisN,b3_trialLoop.thisIndex,GenInstrAbsTime,GenInstrTime,triggerClock,triggerAbsClock,ActInstr_startAbstime,ActInstr_starttime,startFixAbstime,startFixtime,Img_startAbstime,Img_starttime,key_resp_2.keys,JitDur,startJitAbstime,startJittime,RespgetAbsTime,Respgettime,key_resp_2.rt,SemInstr_startAbstime,SemInstr_starttime,date,frameRate,expName,session,participant,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411743321,10.117287271,51.3259932386,1411743362,,,,,,,,,,,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,object,trial_images_objects\r_crosscut_saw.png,n,n,100,crosscut_saw,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,,,,1411743363,51.3617253766,1411743366,54.3796936219,1411743366,54.8747779891,None,0.5,1411743369,57.3613441396,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,object,trial_images_objects\r_scoop.png,n,n,110,scoop,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,1411743369,57.8611431072,1411743370,58.3706758429,None,2.5,1411743372,60.8599507984,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,object,trial_images_objects\r_whisk.png,n,n,116,whisk,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,1411743375,63.3592486945,1411743375,63.8694252769,None,0.5,1411743378,66.358057593,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,object,trial_images_objects\r_bottle_cleaner.png,n,n,98,bottle_cleaner,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,1411743378,66.8580228803,1411743379,67.3671149144,3,0.5,1411743381,69.8569579522,1411743380,69.3236179782,1.95617676356,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,animal,trial_images_animals\r_koala.png,f,n,88,koala,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,1411743382,70.3568480787,1411743382,70.8706658819,None,3.5,1411743385,73.355637357,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,animal,trial_images_animals\r_goat2.png,n,n,76,goat2,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,1411743388,76.8546925654,1411743389,77.3644308612,None,3.5,1411743391,79.853386459,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,animal,trial_images_animals\r_duck_mallard.png,n,n,73,duck_mallard,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,1411743395,83.3524232546,1411743395,83.8636382022,None,0.5,1411743398,86.3511868755,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,animal,trial_images_animals\r_highland_cow.png,n,n,69,highland_cow,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,7,7,13,,,,,,,,,,,,,,,,,,,1411743398,86.8511956292,1411743399,87.3654544357,None,0.5,1411743401,89.8499885297,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,object,trial_images_objects\r_hammer.png,n,v,107,hammer,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,8,8,5,,,,,,,,,,,,,,,,,,,1411743402,90.3499933593,1411743402,90.8593552477,3,1.5,1411743405,93.3488940203,1411743403,91.5492936702,0.689670379426,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,object,trial_images_objects\r_squeezer.png,n,n,101,squeezer,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,9,9,8,,,,,,,,,,,,,,,,,,,1411743406,94.8484454707,1411743407,95.360183525,None,0.5,1411743409,97.8472416916,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,animal,trial_images_animals\r_fox2.png,n,n,74,fox2,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,10,10,4,,,,,,,,,,,,,,,,,,,1411743410,98.3472555767,1411743410,98.8614531075,None,1.5,1411743413,101.346049081,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,object,trial_images_objects\r_pincer.png,n,n,119,pincer,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,11,11,10,,,,,,,,,,,,,,,,,,,1411743414,102.862391258,1411743415,103.370946301,None,0.5,1411743417,105.861153974,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,object,trial_images_objects\r_garden clippers.png,n,n,105,garden_clippers,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,12,12,7,,,,,,,,,,,,,,,,,,,1411743418,106.361173896,1411743418,106.868325938,None,1.5,1411743421,109.359988832,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,object,trial_images_objects\r_tweezers.png,n,n,103,tweezers,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,0,13,13,12,,,,,,,,,,,,,,,,,,,1411743422,110.859603369,1411743423,111.368947448,None,0.5,1411743425,113.858420115,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
4,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,animal,trial_images_animals\r_moth.png,n,n,66,,moth,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,1411743432,120.390364937,1411743432,120.882874219,None,2.5,,123.371838269,,,,1411743429,117.362628513,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,animal,trial_images_animals\r_giraffe.png,f,n,67,,giraffe,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,1411743437,125.871046515,1411743438,126.381133146,3,0.5,,128.869980983,1411743438,127.187110387,0.805644903257,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,animal,trial_images_animals\r_goose_canada.png,n,n,77,,goose_canada,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,1411743441,129.36982221,1411743441,129.879639591,None,2.5,,132.368629599,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,animal,trial_images_animals\r_grasshopper_common.png,n,v,70,,grasshopper_common,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,1411743446,134.867977301,1411743447,135.376224154,None,1.5,,137.866762051,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,animal,trial_images_animals\r_dog_terrier.png,n,n,68,,dog_terrier,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,12,,,,,,,,,,,,,,,1411743451,139.366394096,1411743451,139.877217242,None,0.5,,142.36525944,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,object,trial_images_objects\r_scissors.png,n,n,114,,scissors,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,1411743454,142.865186996,1411743455,143.37325606,None,0.5,,145.864009176,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,object,trial_images_objects\r_hairbrush.png,n,n,106,,hairbrush,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,1411743458,146.364008573,1411743458,146.872699749,None,1.5,,149.362828338,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,object,trial_images_objects\r_cakeslicer.png,n,n,92,,cakeslicer,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,1411743462,150.86258897,1411743463,151.370489601,None,0.5,,153.861269583,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,animal,trial_images_animals\r_swan2.png,n,n,90,,swan2,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,4,,,,,,,,,,,,,,,1411743466,154.361277733,1411743466,154.873692233,None,0.5,,157.360080896,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,animal,trial_images_animals\r_otter.png,n,n,86,,otter,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,13,,,,,,,,,,,,,,,1411743469,157.860060672,1411743470,158.37248121,None,1.5,,160.858861421,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,object,trial_images_objects\r_cutteknife.png,n,n,102,,cutterknife,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,1411743474,162.358545081,1411743474,162.867733406,None,1.5,,165.373964201,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,animal,trial_images_animals\r_hare.png,n,v,78,,hare,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,0,,,,,,,,,,,,,,,1411743478,166.873626128,1411743479,167.383599263,None,0.5,,169.872430801,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,animal,trial_images_animals\r_owl_whitebarn.png,n,n,85,,owl_whitebarn,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,9,,,,,,,,,,,,,,,1411743482,170.372493586,1411743482,170.882948474,None,3.5,,173.371288901,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,animal,trial_images_animals\r_jerboas.png,f,v,82,,jerboas,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,3,,,,,,,,,,,,,,,1411743488,176.870223671,1411743489,177.382323644,None,2.5,,179.869011138,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
1,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,animal,trial_images_animals\r_pony.png,n,n,81,,,pony,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,1411743497,185.388114341,1411743500,188.399943856,1411743500,188.894814513,None,2.5,,191.381858493,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,animal,trial_images_animals\r_penguin.png,f,n,84,,,penguin,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,1411743505,193.881071267,1411743506,194.390497148,None,1.5,,196.896517854,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,animal,trial_images_animals\r_badger2.png,n,n,61,,,badger2,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,1411743510,198.396203628,1411743510,198.91076338,None,0.5,,201.394925594,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,animal,trial_images_animals\r_hedgehog.png,n,n,80,,,hedgehog,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,9,,,,,,,,,,,1411743513,201.894951251,1411743514,202.406883093,None,0.5,,204.893715174,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,animal,trial_images_animals\r_beaver.png,n,n,63,,,beaver,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,12,,,,,,,,,,,1411743517,205.393754716,1411743517,205.906353648,None,1.5,,208.392581122,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,object,trial_images_objects\r_shisha.png,f,n,120,,,shisha,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,1411743521,209.892208941,1411743522,210.402298289,None,2.5,,212.891021462,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,object,trial_images_objects\r_tin_opener.png,n,n,95,,,tin_opener,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,13,,,,,,,,,,,1411743527,215.390422892,1411743527,215.900904947,None,3.5,,218.389180476,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,object,trial_images_objects\r_mop.png,n,n,93,,,mop,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,,,1411743533,221.888117058,1411743534,222.397167436,None,0.5,,224.886848079,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,animal,trial_images_animals\r_wallaby.png,f,v,83,,,wallaby,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,7,,,,,,,,,,,1411743537,225.386936219,1411743537,225.89684174,3,1.5,,228.385827825,1411743538,227.219539075,1.32237314739,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,object,trial_images_objects\r_pencil.png,n,n,111,,,pencil,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,11,,,,,,,,,,,1411743541,229.885387425,1411743542,230.393959069,None,1.5,,232.884172779,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,object,trial_images_objects\r_frypan.png,n,n,104,,,frypan,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,1411743546,234.383824746,1411743546,234.893229497,None,1.5,,237.382657189,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,object,trial_images_objects\r_key.png,n,n,108,,,key,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,4,,,,,,,,,,,1411743550,238.882276555,1411743551,239.390353769,None,0.5,,241.881086963,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,object,trial_images_objects\r_teapot.png,n,n,109,,,teapot,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,0,,,,,,,,,,,1411743554,242.381118054,1411743554,242.892615231,None,1.5,,245.396492801,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,object,trial_images_objects\r_african_sickle.png,f,n,94,,,african_sickle,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,5,,,,,,,,,,,1411743558,246.896145673,1411743559,247.403852214,None,2.5,,249.895012527,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,,,,,,,,,,,,,,0,2,2,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
2,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,object,trial_images_objects\r_rake.png,n,n,112,,,,rake,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,9,,,,,,,1411743570,258.426762353,1411743570,258.916507592,None,1.5,1411743573,261.40799511,,,,1411743567,255.415052371,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,animal,trial_images_animals\r_robin.png,n,n,62,,,,robin,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,1411743574,262.907481663,1411743575,263.419646835,None,0.5,1411743577,265.906286033,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,animal,trial_images_animals\r_crow.png,n,n,64,,,,crow,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,1411743578,266.406287241,1411743578,266.916633463,None,0.5,1411743581,269.405081651,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,object,trial_images_objects\r_chopsticks.png,f,n,96,,,,chopsticks,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,3,3,6,,,,,,,1411743581,269.905075915,1411743582,270.412636361,3,0.5,1411743584,272.904002536,1411743583,271.454312234,1.04137040056,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,object,trial_images_objects\r_potatomasher.png,n,v,118,,,,potatomasher,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,4,4,12,,,,,,,1411743585,273.403894473,1411743585,273.911017236,None,1.5,1411743588,276.419380905,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,animal,trial_images_animals\r_vole.png,n,n,79,,,,vole,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,5,5,7,,,,,,,1411743589,277.919000574,1411743590,278.43002777,None,0.5,1411743592,280.917832111,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,animal,trial_images_animals\r_polecat.png,n,n,89,,,,polecat,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,6,6,8,,,,,,,1411743593,281.417800718,1411743593,281.928630807,None,1.5,1411743596,284.416615654,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,object,trial_images_objects\r_screwdriver.png,n,n,115,,,,screwdriver,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,1411743597,285.916269432,1411743598,286.427137553,None,1.5,1411743600,288.915046938,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,animal,trial_images_animals\r_deer_fallow.png,n,n,71,,,,deer_fallow,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,8,8,4,,,,,,,1411743602,290.414738447,1411743602,290.925790697,None,0.5,1411743605,293.413539799,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,animal,trial_images_animals\r_toad.png,n,v,75,,,,toad,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,9,9,10,,,,,,,1411743605,293.913560928,1411743606,294.426743337,3,1.5,1411743608,296.912445893,1411743607,295.479382716,1.05237314739,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,animal,trial_images_animals\r_sheep_blackfaced.png,n,n,87,,,,sheep_blackfaced,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,10,10,11,,,,,,,1411743610,298.41202119,1411743610,298.924483987,None,0.5,1411743613,301.410790848,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,object,trial_images_objects\r_stapler.png,n,n,97,,,,stapler,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11,11,13,,,,,,,1411743613,301.910798696,1411743614,302.423324882,None,2.5,1411743616,304.909565939,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,animal,trial_images_animals\r_ladybird.png,n,n,72,,,,ladybird,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,12,12,5,,,,,,,1411743619,307.408958918,1411743619,307.920272269,None,0.5,1411743622,310.407706843,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,animal,trial_images_animals\r_bulldog_whiteenglish.png,n,n,65,,,,bulldog_whiteenglish,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,13,13,3,,,,,,,1411743622,310.907682695,1411743623,311.418939298,None,3.5,1411743625,313.906499743,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
3,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014_Sep_26_1555,59.9999999999,semact_fmri_builder,002,ad019,
